"dialog.house.parent.angry"		"* Hey Kid!&* You'd better not be awake in&  there!"
"dialog.house.chara.drawer"		"* Inside the dresser is a single &  shirt and a pair of jeans...{pause}{clear}* There is also a black sweater...{pause}{clear}* Take the sweater?&&        {choice 0}Yes        {choice 1}No		{choice `TEMP`}"
"dialog.house.chara.drawer1"		"* You took the sweater,&  and slid it on..."
"dialog.house.chara.drawer2"		"* Inside the dresser is a single &  shirt and a pair of jeans..."
"dialog.house.chara.sweaterequip"	"* You slid on the sweater..."
"dialog.house.chara.bed.0"		"* Under the bed is a rusty&  carving knife...{pause}{clear}* It's too far under for you to&  reach..."
"dialog.house.upstairs.lamp"		"* A lamp illuminates the hallway&  with a soft glow..."
"dialog.house.kitchen.fridge"		"* In the fridge is a single loaf&  of half eaten bread...{pause}{clear}* Milk one week past it's sell by&  date, and leftover spaghetti&  from a couple weeks ago...{pause}{clear}* Sadly,{sleep 20}there's no chocolate..."
"dialog.house.kitchen.stove"		"* The hotplates are still hot&  to touch...{pause}{clear}* The smell of burnt skin&  fills the air..."
"dialog.house.kitchen.photo"		"* It's a picture of you and&  your \"Parents\"...{pause}{clear}* (As you look at it your&  throat tightens a little.){pause}{clear}* Haha...{pause}{clear}* The tears wont stop pouring  &from your face..."
"dialog.house.kitchen.knife"		"* Can't get into the knife&  drawer...{pause}{clear}* It's held shut by a padlock...{pause}{clear}* Well, {sleep 20}well,&{sleep 20}* What a shame..."
"dialog.blocked.way"			"* The way is blocked..."
"dialog.parents.room"			"* I don't want to disturb them, &  especially when they're&  sleeping."
"dialog.town.buildings"			"* Even after all these years,&  you remain impressed by the&  architecture of these buildings."
"dialog.try.mountain"			"* No, {sleep 20}not there...{pause}{clear}* Not there yet..."
"dialog.try.ledge"			"* The ledge is too steep to&  climb...{pause}{clear}* Maybe there's another way up?"
"dialog.town.mtsign"			"* WARNING!&  UNKEPT MOUNTAIN TRAIL!{pause}{clear}* DO NOT CLIMB!&* SERIOUS INJURY OR DEATH& 10:45 PM 3/05/2020 MAY RESULT..."
"dialog.town.bench"			"* It's an old wooden bench...{pause}{clear}* Sit down?&&        {choice 0}Yes        {choice 1}Not Yet		{choice `TEMP`}"
"dialog.town.bench1"			"* You sit down on the bench&  and gaze into the field&  of golden flowers...{pause}{clear}* Your head feels heavy...{pause}{clear}* You begin to nod off to sleep..."
